SiteNumber,Week,LogCopiesperLiter,Latitude,Longitude
1,24,1.5354646805,46.82031,-92.03865
3,24,3.9701505953,46.82028,-92.04
4,24,4.0206385201,46.820274,-92.041948
7,24,4.0845374727,46.818123,-92.046242
8,24,3.9854644862,46.814864,-92.050069
9,24,3.9345333309,46.8150629,-92.0511351
10,24,3.6088182847,46.807251,-92.060456
11,24,4.2972826526,46.80232,-92.068242
12,24,4.1079915148,46.798545,-92.077004
13,24,4.2565289712,46.79743,-92.07934
14,24,4.2528962055,46.7959775,-92.082327
1,25,4.1667265973,46.82031,-92.03865
3,25,4.3740919655,46.82028,-92.04
4,25,4.0214203161,46.820274,-92.041948
5,25,4.1489207508,46.817005,-92.047744
7,25,4.2380771988,46.818123,-92.046242
8,25,4.2358312538,46.814864,-92.050069
10,25,4.220498618,46.807251,-92.060456
11,25,4.4496441413,46.80232,-92.068242
12,25,5.3519169572,46.798545,-92.077004
13,25,5.3562663492,46.79743,-92.07934
14,25,5.4410386124,46.7959775,-92.082327
1,26,4.1832663984,46.82031,-92.03865
3,26,4.305972713,46.82028,-92.04
4,26,4.2080824964,46.820274,-92.041948
5,26,4.8077086423,46.817005,-92.047744
7,26,4.4280021959,46.818123,-92.046242
8,26,4.3729284846,46.814864,-92.050069
10,26,4.1372586388,46.807251,-92.060456
12,26,4.4831519233,46.798545,-92.077004
13,26,4.7450460537,46.79743,-92.07934
14,26,4.7309836335,46.7959775,-92.082327
1,27,3.7333720852,46.82031,-92.03865
3,27,4.2124877029,46.82028,-92.04
4,27,3.6123492785,46.820274,-92.041948
5,27,3.0339000657,46.817005,-92.047744
7,27,4.0654256798,46.818123,-92.046242
8,27,4.5598726905,46.814864,-92.050069
11,27,4.2930951887,46.80232,-92.068242
12,27,4.2872312366,46.798545,-92.077004
13,27,4.2501839576,46.79743,-92.07934
14,27,4.8359990816,46.7959775,-92.082327
1,29,3.1034685736,46.82031,-92.03865
4,29,3.6711651783,46.820274,-92.041948
5,29,3.7269924377,46.817005,-92.047744
8,29,3.5198172731,46.814864,-92.050069
10,29,3.7162886285,46.807251,-92.060456
12,29,3.5995100788,46.798545,-92.077004
13,29,3.7406731377,46.79743,-92.07934
14,29,3.7549966455,46.7959775,-92.082327
1,30,1.3812765667,46.82031,-92.03865
4,30,2.7774287769,46.820274,-92.041948
5,30,3.4789045751,46.817005,-92.047744
8,30,3.8915001386,46.814864,-92.050069
10,30,3.3984806662,46.807251,-92.060456
12,30,3.7122607023,46.798545,-92.077004
13,30,3.7295365069,46.79743,-92.07934
14,30,3.7738321896,46.7959775,-92.082327
1,31,3.7135861173,46.82031,-92.03865
4,31,5.2377559986,46.820274,-92.041948
5,31,2.3789145291,46.817005,-92.047744
8,31,3.6277211693,46.814864,-92.050069
10,31,4.0434934475,46.807251,-92.060456
12,31,3.684807156,46.798545,-92.077004
13,31,4.4214567713,46.79743,-92.07934
14,31,3.5281195563,46.7959775,-92.082327
1,32,4.299184969,46.82031,-92.03865
3,32,4.7711970082,46.82028,-92.04
4,32,4.162583931,46.820274,-92.041948
5,32,4.9803990541,46.817005,-92.047744
7,32,3.2613553182,46.818123,-92.046242
8,32,3.7804542156,46.814864,-92.050069
10,32,3.1653012105,46.807251,-92.060456
11,32,3.4306693165,46.80232,-92.068242
12,32,3.5614023801,46.798545,-92.077004
13,32,4.1925838605,46.79743,-92.07934
14,32,3.8780268819,46.7959775,-92.082327
1,34,4.6439422397,46.82031,-92.03865
4,34,4.4651688389,46.820274,-92.041948
5,34,4.4806506414,46.817005,-92.047744
8,34,4.826854479,46.814864,-92.050069
10,34,4.7400587824,46.807251,-92.060456
12,34,4.1491843944,46.798545,-92.077004
13,34,6.0221682487,46.79743,-92.07934
